epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1317.49,0.90225,0.48288,0.92098,0.91508,0.89593,0.93706,0.70839,0.91044,0.45059,0.94211,0.000910273,0.000910273,0.000910273
112,1329.34,0.91469,0.48086,0.93728,0.90928,0.9058,0.94109,0.70761,0.93445,0.46013,0.95149,0.000905557,0.000905557,0.000905557
113,1341.17,0.87965,0.47135,0.91546,0.90074,0.90604,0.93931,0.70745,0.91277,0.45674,0.94217,0.000900842,0.000900842,0.000900842
114,1352.91,0.8827,0.46012,0.92735,0.90967,0.90125,0.93579,0.70663,0.9044,0.4522,0.94035,0.000896126,0.000896126,0.000896126
115,1364.96,0.8931,0.47863,0.91765,0.90294,0.90809,0.93552,0.70321,0.92533,0.46175,0.94458,0.00089141,0.00089141,0.00089141
116,1376.9,0.8815,0.47752,0.92487,0.90419,0.90353,0.93663,0.6985,0.92619,0.45745,0.94903,0.000886694,0.000886694,0.000886694
117,1388.82,0.87595,0.46202,0.92031,0.91173,0.90525,0.9332,0.70222,0.91759,0.45336,0.94402,0.000881979,0.000881979,0.000881979
118,1400.3,0.86819,0.46057,0.91703,0.90568,0.90854,0.93746,0.70871,0.90921,0.44975,0.94238,0.000877263,0.000877263,0.000877263
119,1411.91,0.88152,0.46118,0.92574,0.91137,0.90967,0.93337,0.70182,0.91224,0.45669,0.94414,0.000872547,0.000872547,0.000872547
120,1424.07,0.86369,0.46156,0.91038,0.91139,0.90712,0.93692,0.70878,0.90155,0.44977,0.94138,0.000867832,0.000867832,0.000867832
121,1435.94,0.86184,0.456,0.91927,0.91274,0.90375,0.9349,0.702,0.912,0.45465,0.94391,0.000863116,0.000863116,0.000863116
122,1447.54,0.87777,0.46233,0.91625,0.90524,0.90613,0.94038,0.70356,0.91376,0.44881,0.9438,0.0008584,0.0008584,0.0008584
123,1459.3,0.86127,0.45381,0.9042,0.9019,0.9092,0.93586,0.70587,0.90776,0.45234,0.94264,0.000853685,0.000853685,0.000853685
124,1471.32,0.85944,0.45226,0.90922,0.90636,0.91537,0.94082,0.7125,0.90462,0.44264,0.93994,0.000848969,0.000848969,0.000848969
125,1483.31,0.86498,0.44786,0.91701,0.90893,0.90612,0.93734,0.70205,0.93294,0.45404,0.94704,0.000844253,0.000844253,0.000844253
126,1495.49,0.85552,0.45683,0.91075,0.90116,0.89878,0.92999,0.70028,0.91199,0.47259,0.94717,0.000839537,0.000839537,0.000839537
127,1507.18,0.87289,0.45096,0.91993,0.90878,0.90363,0.9346,0.70069,0.91906,0.46065,0.94379,0.000834822,0.000834822,0.000834822
128,1518.69,0.8575,0.44379,0.91748,0.91118,0.90362,0.93549,0.70563,0.91348,0.45312,0.9448,0.000830106,0.000830106,0.000830106
129,1530.52,0.83431,0.44308,0.89706,0.91278,0.90831,0.938,0.707,0.91482,0.44991,0.94268,0.00082539,0.00082539,0.00082539
130,1542.18,0.8581,0.44129,0.91748,0.90653,0.90024,0.93552,0.70905,0.91452,0.45226,0.94307,0.000820675,0.000820675,0.000820675
131,1553.96,0.84704,0.44798,0.90581,0.90836,0.90158,0.93018,0.70429,0.90524,0.45311,0.94178,0.000815959,0.000815959,0.000815959
132,1565.7,0.86037,0.45111,0.91332,0.90008,0.90571,0.92755,0.70047,0.90541,0.45546,0.94342,0.000811243,0.000811243,0.000811243
133,1577.7,0.86122,0.45342,0.91118,0.91224,0.90199,0.93116,0.70442,0.91486,0.45508,0.9438,0.000806528,0.000806528,0.000806528
134,1589.68,0.87478,0.45763,0.91465,0.90899,0.90414,0.93729,0.70386,0.91979,0.45473,0.94476,0.000801812,0.000801812,0.000801812
135,1601.56,0.85453,0.4437,0.91954,0.90711,0.90959,0.93069,0.70071,0.90478,0.45711,0.94305,0.000797096,0.000797096,0.000797096
136,1613.89,0.85963,0.44961,0.90821,0.9136,0.9057,0.93153,0.70031,0.94414,0.4608,0.94892,0.00079238,0.00079238,0.00079238
137,1625.52,0.86395,0.44415,0.91174,0.90775,0.89749,0.93051,0.70046,0.92013,0.45842,0.94802,0.000787665,0.000787665,0.000787665
138,1637.51,0.87878,0.45748,0.9248,0.90271,0.90388,0.9347,0.70326,0.93075,0.45785,0.94781,0.000782949,0.000782949,0.000782949
139,1649.13,0.8733,0.44733,0.9241,0.90644,0.91192,0.93149,0.69753,0.92338,0.45856,0.94671,0.000778233,0.000778233,0.000778233
140,1661.01,0.84298,0.45037,0.90262,0.90947,0.9102,0.93115,0.7005,0.91044,0.4542,0.94572,0.000773518,0.000773518,0.000773518
141,1672.73,0.83015,0.42889,0.90598,0.9025,0.90898,0.93362,0.70779,0.89771,0.44829,0.9408,0.000768802,0.000768802,0.000768802
142,1684.52,0.83767,0.43712,0.90755,0.90024,0.91123,0.92985,0.70003,0.90528,0.45616,0.94326,0.000764086,0.000764086,0.000764086
143,1696.36,0.85762,0.43763,0.90775,0.90348,0.91122,0.93103,0.69321,0.93683,0.46408,0.94934,0.000759371,0.000759371,0.000759371
144,1708.25,0.84225,0.42969,0.90572,0.90533,0.90985,0.93025,0.7046,0.91548,0.44872,0.94414,0.000754655,0.000754655,0.000754655
145,1720.04,0.85713,0.44594,0.91402,0.91536,0.90471,0.93122,0.70141,0.91087,0.44796,0.94497,0.000749939,0.000749939,0.000749939
146,1731.66,0.83246,0.43417,0.91291,0.90803,0.90679,0.93613,0.7079,0.90877,0.44727,0.94465,0.000745223,0.000745223,0.000745223
147,1743.3,0.86646,0.44024,0.90933,0.90842,0.90147,0.93043,0.7011,0.91091,0.45704,0.94303,0.000740508,0.000740508,0.000740508
148,1754.9,0.83902,0.42301,0.90902,0.90073,0.90657,0.92425,0.69788,0.90828,0.45489,0.94584,0.000735792,0.000735792,0.000735792
149,1767.1,0.86222,0.43392,0.91609,0.90417,0.89816,0.93063,0.69944,0.93503,0.45998,0.94776,0.000731076,0.000731076,0.000731076
